LandisData   "Ecoregions"

>>      	Map
>> 	Active  Code	Name   Description
>> 	------  ---- 	-----  -----------
         yes    40232    eco40.1702000804    "PWG:40; HUC:1702000804"
         yes    40233    eco40.1702000805    "PWG:40; HUC:1702000805"
         yes    40234    eco40.1702000806    "PWG:40; HUC:1702000806"
         yes    40235    eco40.1702000807    "PWG:40; HUC:1702000807"
         yes    40236    eco40.1702000901    "PWG:40; HUC:1702000901"
         yes    40237    eco40.1702000902    "PWG:40; HUC:1702000902"
         yes    40238    eco40.1702000903    "PWG:40; HUC:1702000903"
         yes    40239    eco40.1711000505    "PWG:40; HUC:1711000505"
         yes    50240    eco50.1702000209    "PWG:50; HUC:1702000209"
         yes    50241    eco50.1702000212    "PWG:50; HUC:1702000212"
         yes    50242    eco50.1702000402    "PWG:50; HUC:1702000402"
         yes    50243    eco50.1702000501    "PWG:50; HUC:1702000501"
         yes    50244    eco50.1702000615    "PWG:50; HUC:1702000615"
         yes    50245    eco50.1702000616    "PWG:50; HUC:1702000616"
         yes    50246    eco50.1702000617    "PWG:50; HUC:1702000617"
         yes    50247    eco50.1702000618    "PWG:50; HUC:1702000618"
         yes    50248    eco50.1702000619    "PWG:50; HUC:1702000619"
         yes    50249    eco50.170200062    "PWG:50; HUC:170200062"
         yes    50250    eco50.1702000622    "PWG:50; HUC:1702000622"
         yes    50251    eco50.1702000701    "PWG:50; HUC:1702000701"
         yes    50252    eco50.1702000713    "PWG:50; HUC:1702000713"
         yes    50253    eco50.1702000714    "PWG:50; HUC:1702000714"
         yes    50254    eco50.1702000718    "PWG:50; HUC:1702000718"
         yes    50255    eco50.1702000719    "PWG:50; HUC:1702000719"
         yes    50256    eco50.170200072    "PWG:50; HUC:170200072"
         yes    50257    eco50.1702000801    "PWG:50; HUC:1702000801"
         yes    50258    eco50.1702000802    "PWG:50; HUC:1702000802"
         yes    50259    eco50.1702000803    "PWG:50; HUC:1702000803"
         yes    50260    eco50.1702000804    "PWG:50; HUC:1702000804"
         yes    50261    eco50.1702000805    "PWG:50; HUC:1702000805"
         yes    50262    eco50.1702000806    "PWG:50; HUC:1702000806"
         yes    50263    eco50.1702000807    "PWG:50; HUC:1702000807"
         yes    50264    eco50.1702000901    "PWG:50; HUC:1702000901"
         yes    50265    eco50.1702000902    "PWG:50; HUC:1702000902"
         yes    50266    eco50.1702000903    "PWG:50; HUC:1702000903"
         yes    50267    eco50.1711000505    "PWG:50; HUC:1711000505"
