LandisData   "Ecoregions"

>>      	Map
>> 	Active  Code	Name   Description
>> 	------  ---- 	-----  -----------
         yes    30132    eco30.1711000902    "PWG:30; HUC:1711000902"
         yes    30133    eco30.1711000904    "PWG:30; HUC:1711000904"
         yes    40134    eco40.1702000901    "PWG:40; HUC:1702000901"
         yes    40135    eco40.1702000902    "PWG:40; HUC:1702000902"
         yes    40136    eco40.1702000903    "PWG:40; HUC:1702000903"
         yes    40137    eco40.1702001001    "PWG:40; HUC:1702001001"
         yes    40138    eco40.1702001002    "PWG:40; HUC:1702001002"
         yes    40139    eco40.1702001003    "PWG:40; HUC:1702001003"
         yes    40140    eco40.1702001101    "PWG:40; HUC:1702001101"
         yes    40141    eco40.1702001102    "PWG:40; HUC:1702001102"
         yes    40142    eco40.1702001103    "PWG:40; HUC:1702001103"
         yes    40143    eco40.1702001104    "PWG:40; HUC:1702001104"
         yes    40144    eco40.1702001105    "PWG:40; HUC:1702001105"
         yes    40145    eco40.1702001106    "PWG:40; HUC:1702001106"
         yes    40146    eco40.1702001107    "PWG:40; HUC:1702001107"
         yes    40147    eco40.1703000101    "PWG:40; HUC:1703000101"
         yes    40148    eco40.1703000102    "PWG:40; HUC:1703000102"
         yes    40149    eco40.1703000104    "PWG:40; HUC:1703000104"
         yes    40150    eco40.1703000105    "PWG:40; HUC:1703000105"
         yes    40151    eco40.1711000601    "PWG:40; HUC:1711000601"
         yes    40152    eco40.1711000602    "PWG:40; HUC:1711000602"
         yes    40153    eco40.1711000901    "PWG:40; HUC:1711000901"
         yes    40154    eco40.1711000902    "PWG:40; HUC:1711000902"
         yes    40155    eco40.1711000904    "PWG:40; HUC:1711000904"
         yes    50156    eco50.1702000901    "PWG:50; HUC:1702000901"
         yes    50157    eco50.1702000902    "PWG:50; HUC:1702000902"
         yes    50158    eco50.1702000903    "PWG:50; HUC:1702000903"
         yes    50159    eco50.1702001001    "PWG:50; HUC:1702001001"
         yes    50160    eco50.1702001002    "PWG:50; HUC:1702001002"
         yes    50161    eco50.1702001003    "PWG:50; HUC:1702001003"
         yes    50162    eco50.1702001101    "PWG:50; HUC:1702001101"
         yes    50163    eco50.1702001102    "PWG:50; HUC:1702001102"
         yes    50164    eco50.1702001103    "PWG:50; HUC:1702001103"
         yes    50165    eco50.1702001104    "PWG:50; HUC:1702001104"
         yes    50166    eco50.1702001105    "PWG:50; HUC:1702001105"
         yes    50167    eco50.1702001106    "PWG:50; HUC:1702001106"
         yes    50168    eco50.1702001107    "PWG:50; HUC:1702001107"
         yes    50169    eco50.1703000101    "PWG:50; HUC:1703000101"
         yes    50170    eco50.1703000102    "PWG:50; HUC:1703000102"
         yes    50171    eco50.1703000104    "PWG:50; HUC:1703000104"
         yes    50172    eco50.1703000105    "PWG:50; HUC:1703000105"
         yes    50173    eco50.1711000601    "PWG:50; HUC:1711000601"
         yes    50174    eco50.1711000602    "PWG:50; HUC:1711000602"
         yes    50175    eco50.1711000901    "PWG:50; HUC:1711000901"
         yes    50176    eco50.1711000902    "PWG:50; HUC:1711000902"
         yes    50177    eco50.1711000904    "PWG:50; HUC:1711000904"
